VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
WBA13AR07MCF74720,2021,4 Series,M440i xDrive Coupe,0,0,1,5459,CA,Black SensaTec,Alpine White,3.0L 6 Cylinder,Gasoline,–,AWD,31,22,0,0,0,0,61045
WBA13AR0XMCF69575,2021,4 Series,M440i xDrive Coupe,0,0,1,5464,CA,Black SensaTec,Alpine White,3.0L 6 Cylinder,Gasoline,–,AWD,31,22,0,0,0,0,62770
WBA4J1C50JBG77857,2018,4 Series,430i Gran Coupe,1,0,0,22806,CA,Venetian Beige Sensatec,Black Sapphire Metallic,2.0L 4 CYLINDER,Gasoline,Automatic,RWD,34,24,0,0,0,0,29888
WBA4J1C50JBG78345,2018,4 Series,430i Gran Coupe,1,0,0,38308,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 CYLINDER,Gasoline,Automatic,RWD,34,24,0,0,0,0,27888
WBA4J1C58JBM11435,2018,4 Series,430i Gran Coupe,1,0,0,34249,CA,Black SensaTec,Black Sapphire Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,0,28888
WBA4J1C59JBM10228,2018,4 Series,430i Gran Coupe,1,0,0,30243,CA,Leather Dakota Black/Blue Stit,Estoril Blue Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,24,0,0,0,1,32888
WBA4J5C53JBF06981,2018,4 Series,440i Gran Coupe,1,0,0,38679,CA,Black Dak Lthr w/ Oyster hglgt,Carbon Black Metallic,3.0L Straight 6 Cylinder,Gasoline,Automatic,RWD,32,21,0,0,0,1,37488
WBA4J5C53JBF20234,2018,4 Series,440i Gran Coupe,1,0,0,22143,CA,Cognac Lthr w/Dark Brown hglgt,Mineral White Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,32,21,0,0,0,0,38888
WBA4J5C58JBM64904,2018,4 Series,440i Gran Coupe,1,0,0,26891,CA,Leather Black/Red hghlgt/Stitc,Mineral Grey Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,RWD,32,21,0,0,0,0,36888
WBA4J7C54JBH14069,2018,4 Series,440i xDrive Gran Coupe,1,0,0,44477,CA,Black SensaTec,Glacier Silver Metallic,3.0L STRAIGHT 6 CYLINDER,Gasoline,Automatic,AWD,31,21,0,0,0,1,35888
WBA4W3C52KAF91521,2019,4 Series,430i Coupe,1,0,0,28036,CA,Black SensaTec/Red Stitching,Black Sapphire Metallic,2.0L 4 CYLINDER,Gasoline,Automatic,RWD,34,24,1,0,0,0,32888
WBA53AP02MCF69641,2021,4 Series,430i Coupe,0,0,0,5247,CA,Oyster Vernasca Leather,Mineral White Metallic,2.0L 4 Cylinder,Gasoline,Automatic,RWD,34,26,0,0,0,1,56570
